Date;T_nh;Number;bu_i
07/05/2021 ;__ng Tháp;100;Sáng
07/05/2021 ;Phú Yên;23;Sáng
07/05/2021 ;H_ng Yên;9;Sáng
07/05/2021 ;Khánh Hòa;8;Sáng
07/05/2021 ;An Giang;6;Sáng
07/05/2021 ;Long An;2;Sáng
07/05/2021 ;B_c Ninh;2;Sáng
07/05/2021 ;L_ng S_n;1;Sáng
07/05/2021 ;__ng Nai;1;Sáng
07/05/2021 ;Sóc Tr_ng;1;Sáng
07/05/2021 ;Bình D__ng;17;Tr_a
07/05/2021 ;Long An;13;Tr_a
07/05/2021 ;Phú Yên;6;Tr_a
07/05/2021 ;B_c Giang;4;Tr_a
07/05/2021 ;V_nh Long;3;Tr_a
07/05/2021 ;__ng Tháp;3;Tr_a
07/05/2021 ;Qu_ng Ngãi;2;Tr_a
07/05/2021 ;Hà T_nh;2;Tr_a
07/05/2021 ;B_c Ninh;1;Tr_a
07/05/2021 ;Bà R_a - V_ng Tàu;1;T_i
07/05/2021 ;Bình D__ng;114;T_i
07/05/2021 ;__ng Tháp;62;T_i
07/05/2021 ;Ti_n Giang;11;T_i
07/05/2021 ;Phú Yên;11;T_i
07/05/2021 ;Khánh Hòa;10;T_i
07/05/2021 ;__ng Nai;8;T_i
07/05/2021 ;An Giang;6;T_i
07/05/2021 ;Bình Ph__c;4;T_i
07/05/2021 ;Bà R_a – V_ng Tàu;4;T_i
07/05/2021 ;Bình __nh;3;T_i
07/05/2021 ;Tây Ninh;3;T_i
07/05/2021 ;B_c Giang;3;T_i
07/05/2021 ;Qu_ng Ngãi;2;T_i
07/05/2021 ;B_c Ninh;1;T_i
07/05/2021 ;Ngh_ An;1;T_i
07/05/2021 ;Lâm __ng;1;T_i
07/06/2021 ;Qu_ng Nam;1;T_i
07/06/2021 ;Hà N_i;1;T_i
07/06/2021 ;__ng Tháp;99;T_i
07/06/2021 ;Bình D__ng;92;T_i
07/06/2021 ;Phú Yên;16;T_i
07/06/2021 ;Long An;8;T_i
07/06/2021 ;Ngh_ An;3;T_i
07/06/2021 ;B_c Giang;2;T_i
07/06/2021 ;B_c Ninh;2;T_i
07/06/2021 ;Hà N_i;2;T_i
07/06/2021 ;Trà Vinh;2;T_i
07/06/2021 ;L_ng S_n;1;T_i
07/06/2021 ;H_ng Yên;1;T_i
07/06/2021 ;An Giang;1;T_i
07/06/2021 ;Qu_ng Nam;1;T_i
07/06/2021 ;Hà N_i;1;T_i
07/06/2021 ;__ng Tháp;99;T_i
07/06/2021 ;Bình D__ng;92;T_i
07/06/2021 ;Phú Yên;16;T_i
07/06/2021 ;Long An;8;T_i
07/06/2021 ;Ngh_ An;3;T_i
07/06/2021 ;B_c Giang;2;T_i
07/06/2021 ;B_c Ninh;2;T_i
07/06/2021 ;Hà N_i;2;T_i
07/06/2021 ;Trà Vinh;2;T_i
07/06/2021 ;L_ng S_n;1;T_i
07/06/2021 ;H_ng Yên;1;T_i
07/06/2021 ;An Giang;1;T_i
07/06/2021 ;Kiên Giang;2;Tr_a
07/06/2021 ;Hà N_i;10;Tr_a
07/06/2021 ;Phú Yên;7;Tr_a
07/06/2021 ;Long An;6;Tr_a
07/06/2021 ;Thanh Hoá;4;Tr_a
07/06/2021 ;B_c Giang;3;Tr_a
07/06/2021 ;L_ng S_n;1;Tr_a
07/06/2021 ;B_c Ninh;1;Tr_a
07/06/2021 ;Hà Nam;1;Tr_a
07/06/2021 ;Phú Yên;18;Sáng
07/06/2021 ;__ng Nai;11;Sáng
07/06/2021 ;An Giang;10;Sáng
07/06/2021 ;H_ng Yên;5;Sáng
07/06/2021 ;V_nh Long;2;Sáng
07/06/2021 ;Hà Nam;1;Sáng
07/07/2021 ;An Giang;1;T_i
07/07/2021 ;Bình D__ng;60;T_i
07/07/2021 ;Khánh Hòa;41;T_i
07/07/2021 ;V_nh Long;24;T_i
07/07/2021 ;Ti_n Giang;18;T_i
07/07/2021 ;Phú Yên;8;T_i
07/07/2021 ;V_nh Phúc;5;T_i
07/07/2021 ;H_ng Yên;5;T_i
07/07/2021 ;__ng Tháp;5;T_i
